ID,Handle,URL
1,@shakira,https://twitter.com/shakira
2,@BillGates,https://twitter.com/BillGates
3,@ddlovato,https://twitter.com/ddlovato
4,@britneyspears,https://twitter.com/britneyspears
5,@Twitter,https://twitter.com/Twitter
6,@cnnbrk,https://twitter.com/cnnbrk
7,@selenagomez,https://twitter.com/selenagomez
8,@jtimberlake,https://twitter.com/jtimberlake
9,@narendramodi,https://twitter.com/narendramodi
10,@KimKardashian,https://twitter.com/KimKardashian
11,@YouTube,https://twitter.com/YouTube
12,@TheEllenShow,https://twitter.com/TheEllenShow
13,@ArianaGrande,https://twitter.com/ArianaGrande
14,@ladygaga,https://twitter.com/ladygaga
15,@taylorswift13,https://twitter.com/taylorswift13
16,@Cristiano,https://twitter.com/Cristiano
17,@rihanna,https://twitter.com/rihanna
18,@katyperry,https://twitter.com/katyperry
19,@justinbieber,https://twitter.com/justinbieber
20,@BarackObama,https://twitter.com/BarackObama
